Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-10-21 13:42:29,false,"Lund Running","5.43","423","00:29:41","148","161","3.3","157","169","5:28","4:42","32","34","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:18.56","6","0.0","00:29:33","00:30:11","29","60"
Running,2023-10-17 07:54:59,false,"Lund Running","9.01","658","00:43:37","156","170","4.1","161","173","4:50","4:11","51","48","1.28","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.80","10","0.0","00:43:06","00:46:34","10","41"
Running,2023-10-14 09:40:58,false,"Lund Running","10.55","782","00:55:51","148","171","3.8","154","247","5:18","3:43","101","89","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:42.32","11","0.0","00:54:26","02:27:07","30","76"
Treadmill Running,2023-10-13 18:37:04,false,"Treadmill Running","2.68","186","00:13:17","148","161","2.6","150","218","4:57","2:28","--","--","1.34","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:48.86","2","0.0","00:12:04","00:13:22","--","--"
Running,2023-10-10 18:56:58,false,"Lund Running","4.74","338","00:22:05","156","174","3.5","159","169","4:39","4:03","21","17","1.35","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:24.63","5","0.0","00:21:57","00:23:40","27","42"
Running,2023-09-25 19:20:25,false,"Lund Running","7.15","530","00:34:43","154","175","4.0","159","167","4:51","4:06","51","43","1.30","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:40.91","8","0.0","00:34:31","00:35:28","37","77"
Running,2023-09-21 18:37:26,false,"Lund Running","5.51","397","00:25:32","160","177","3.8","161","173","4:38","4:06","29","25","1.34","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:12.46","6","0.0","00:25:17","00:26:27","24","42"
Running,2023-09-19 19:36:07,false,"Lund Running","5.43","409","00:27:16","145","173","3.7","157","166","5:01","4:27","20","16","1.27","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:02.67","6","0.0","00:27:05","00:27:34","24","42"
Running,2023-09-12 20:27:56,false,"Lund Running","5.57","410","00:28:53","150","165","3.4","157","167","5:11","4:35","21","18","1.23","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:56.93","6","0.0","00:28:49","00:29:15","25","43"
Running,2023-09-07 18:05:33,false,"Lund Running","5.12","368","00:26:05","148","167","3.4","156","167","5:05","4:21","35","22","1.26","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:38.58","6","0.0","00:25:37","00:33:41","27","56"
Running,2023-08-30 19:05:45,false,"Copenhagen Running","5.20","390","00:21:22","174","195","5.0","165","175","4:07","3:41","21","21","1.48","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:53.31","6","0.0","00:21:20","00:21:22","4","29"
Running,2023-08-20 19:16:54,false,"Lund Running","1.43","103","00:07:18.3","137","152","2.2","156","164","5:06","4:38","8","5","1.26","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:16.29","2","0.0","00:07:12","00:07:31.6","30","41"
Running,2023-07-17 11:07:20,false,"Izabelin Running","7.12","538","00:34:50","158","182","4.5","160","177","4:53","4:06","38","35","1.28","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:28.55","8","0.0","00:34:14","00:36:44","85","108"
Running,2023-06-30 13:46:55,false,"Rzewnie Running","8.01","678","00:40:32","169","184","5.0","160","207","5:04","3:40","41","44","1.24","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.17","9","0.0","00:40:25","00:47:14","83","99"
Running,2023-06-04 19:44:07,false,"Lund Running","8.09","608","00:40:19","148","167","3.5","159","169","4:59","4:12","60","54","1.26","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:55.83","9","0.0","00:39:59","01:23:55","30","88"
Running,2023-04-13 15:09:40,false,"Lund - 6x1km Cruise intervals","13.07","998","00:58:03","166","181","5.0","164","177","4:26","3:44","38","160","1.37","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.22","22","0.0","00:57:28","00:59:51","26","159"
Running,2023-04-09 12:33:30,false,"Lund Running","12.14","943","00:57:33","160","175","4.8","165","181","4:44","3:58","25","55","1.28","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:45.20","13","0.0","00:57:17","01:12:19","2","48"
Running,2023-04-06 19:27:41,false,"Lund - 6x1km Cruise intervals","9.98","740","00:45:54","153","173","4.4","162","172","4:36","3:57","22","22","1.34","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:14.82","16","0.0","00:45:33","00:47:40","26","47"
Running,2023-04-02 19:00:44,false,"Lund Running","15.14","1,155","01:13:38","150","165","4.8","163","172","4:52","4:05","73","73","1.26","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:41.10","16","0.0","01:13:23","01:14:57","29","80"
Treadmill Running,2023-03-30 18:47:21,false,"Treadmill Running","10.25","745","00:47:09","151","179","4.4","161","171","4:36","4:02","--","--","1.35","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:18.05","7","0.0","00:46:00","00:48:09","--","--"
Running,2023-03-25 16:29:42,false,"Lund Running","10.49","816","00:48:56","160","177","4.9","164","179","4:40","3:54","50","46","1.31","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:08.66","11","0.0","00:48:44","00:50:25","8","42"
Running,2023-03-23 20:04:51,false,"Lund Running","6.97","537","00:34:46","146","165","3.7","160","171","4:59","4:01","24","61","1.25","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:20.00","7","0.0","00:34:35","00:35:47","24","75"
Running,2023-03-16 17:36:14,false,"Lund Running","10.16","821","00:45:47","170","181","5.0","165","176","4:30","3:43","62","58","1.34","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:46.03","11","0.0","00:45:42","00:46:38","8","57"
Running,2023-03-14 18:05:50,false,"Lund Running","5.01","378","00:22:46","151","169","3.7","164","173","4:32","4:04","16","14","1.34","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.51","6","0.0","00:22:37","00:24:33","28","42"
Running,2023-03-05 12:42:10,false,"Izabelin Running","10.85","842","00:53:30","154","174","4.5","163","174","4:56","4:15","41","35","1.25","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:39.49","12","0.0","00:53:13","01:04:56","89","108"
Running,2023-03-01 22:54:11,false,"Lund Running","7.12","559","00:33:35","156","169","4.2","164","171","4:43","4:05","23","20","1.29","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:34.53","8","0.0","00:33:28","00:34:08","24","42"
Running,2023-02-26 16:49:12,false,"Lund Running","9.13","710","00:42:12","158","175","4.7","164","176","4:37","4:05","51","44","1.32","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:36.29","10","0.0","00:42:03","00:45:07","10","47"
Running,2023-02-02 12:00:28,false,"Lund Running","10.90","835","00:50:18","153","165","4.3","167","180","4:37","4:00","53","53","1.30","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:14.34","11","0.0","00:50:06","00:51:46","8","42"
Running,2023-01-27 10:47:03,false,"Lund Running","8.93","709","00:40:40","162","173","4.6","168","183","4:33","3:51","33","34","1.31","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:16.83","9","0.0","00:40:32","00:41:10","7","41"
Running,2023-01-23 19:35:49,false,"Lund - 4x2km Cruise intervals","11.88","911","00:53:53","158","173","4.6","168","180","4:32","3:53","15","20","1.31","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:12.03","16","0.0","00:53:43","00:54:59","24","36"
Running,2023-01-20 11:23:23,false,"Lund Running","10.00","767","00:45:38","156","168","4.2","169","180","4:34","3:43","48","47","1.30","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.03","11","0.0","00:45:24","00:48:05","7","41"
Running,2023-01-16 21:06:30,false,"Lund - 4x2km Cruise intervals","10.92","832","00:48:32","157","174","4.5","167","188","4:27","3:10","36","32","1.34","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:40.33","14","0.0","00:47:38","00:50:16","24","44"
Running,2023-01-13 21:48:25,false,"Lund - 4x2km Cruise intervals","10.69","849","00:47:26","165","185","4.9","167","179","4:26","3:31","55","60","1.35","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:28.90","13","0.0","00:47:21","00:47:55","24","57"
Running,2023-01-08 18:57:59,false,"Lund - Run Workout","14.02","1,072","01:03:13","154","176","4.9","165","180","4:30","3:42","63","68","1.34","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.82","15","0.0","01:02:15","01:12:04","29","80"
Running,2023-01-07 20:51:59,false,"Lund Running","1.80","139","00:08:33.7","148","162","2.2","165","177","4:46","4:07","--","26","1.27","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:44.97","2","0.0","00:08:26.0","00:08:51.0","35","66"
Running,2023-01-06 21:51:51,false,"Lund - 4x2km Cruise intervals","8.60","695","00:40:16","160","179","4.2","165","182","4:41","3:09","11","9","1.29","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.45","12","0.0","00:40:02","00:40:55","26","41"
Running,2022-12-28 12:25:55,false,"Rzewnie Running","14.00","1,099","01:05:10","158","177","4.6","168","180","4:39","4:01","66","65","1.28","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:00.90","15","0.0","01:04:53","01:16:03","83","103"
Running,2022-12-27 15:04:10,false,"Rzewnie Running","4.27","331","00:18:06","164","177","3.4","168","179","4:15","3:42","29","29","1.40","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:07.58","5","0.0","00:17:59","00:18:10","64","98"
Running,2022-12-25 15:46:40,false,"Stare Babice Running","8.91","732","00:44:25","151","162","3.8","165","177","4:59","4:09","38","41","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:31.25","9","0.0","00:44:15","00:45:47","90","107"
Running,2022-12-23 16:51:17,false,"Lund - 4x2km Cruise intervals","13.00","1,024","00:59:03","160","185","4.9","167","184","4:33","3:46","22","17","1.32","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:33.13","17","0.0","00:58:46","01:01:21","26","41"
Running,2022-12-21 18:33:53,false,"Lund Running","8.23","661","00:45:31","136","149","3.1","161","171","5:32","4:51","34","33","1.12","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:15.28","9","0.0","00:45:17","00:50:12","24","56"
Running,2022-12-18 22:48:38,false,"Lund - 6x1km Cruise intervals","12.03","965","00:54:38","159","179","4.7","168","182","4:32","3:44","34","36","1.31","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:11.51","18","0.0","00:54:24","00:55:35","23","39"
Running,2022-12-17 10:00:08,false,"Lund Running","10.12","824","00:50:44","147","167","3.9","167","178","5:01","4:13","40","42","1.20","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:37.20","11","0.0","00:50:28","00:52:55","8","38"
Running,2022-12-13 22:33:55,false,"Lund Running","14.42","1,164","01:09:56","154","171","4.4","165","186","4:51","4:11","54","42","1.25","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:06.22","15","0.0","01:09:41","01:19:39","30","59"
Running,2022-12-07 00:06:25,false,"Lund Running","22.09","1,786","01:44:44","155","171","5.0","168","192","4:44","3:50","94","95","1.25","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:38.41","23","0.0","01:44:24","01:49:49","30","85"
Treadmill Running,2022-12-03 21:36:30,false,"Treadmill Running","10.20","789","00:50:04","141","151","3.4","169","190","4:55","3:46","--","--","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:52.24","7","0.0","00:50:00","01:01:40","--","--"
Running,2022-12-01 22:15:57,false,"Lund - 6x1km Cruise intervals","12.77","1,040","00:58:18","160","185","5.0","166","183","4:34","3:41","34","36","1.31","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:10.51","21","0.0","00:57:46","00:59:20","26","38"
Treadmill Running,2022-11-29 17:14:47,false,"Treadmill Running","1.77","129","00:09:24.4","125","140","1.6","156","228","5:18","4:06","--","--","1.21","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:01.63","2","0.0","00:09:02","00:09:48.5","--","--"
Running,2022-11-27 12:14:53,false,"Lund Running","21.97","1,812","01:45:07","155","174","5.0","169","210","4:47","4:06","84","82","1.24","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:22.48","22","0.0","01:44:41","01:57:43","-1","48"
Treadmill Running,2022-11-26 21:51:14,false,"Treadmill Running","3.11","273","00:15:12","152","179","3.2","166","175","4:53","4:05","--","--","1.24","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:15.93","2","0.0","00:15:12","00:15:12","--","--"
Treadmill Running,2022-11-23 18:54:34,false,"Treadmill Running","7.08","526","00:35:17","134","150","3.2","163","177","4:59","3:17","--","--","1.23","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:15.97","5","0.0","00:34:28","00:37:03","--","--"
Treadmill Running,2022-11-22 20:31:04,false,"Treadmill Running","9.09","708","00:45:04","140","165","3.9","164","175","4:57","4:21","--","--","1.12","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:14.06","6","0.0","00:44:24","00:45:04","--","--"
Running,2022-11-18 21:23:44,false,"Lund - Fartlek Run 12xtimes","10.06","847","00:47:35","158","175","4.6","165","184","4:44","3:36","28","26","1.28","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:00.00","30","0.0","00:47:18","00:47:55","26","38"
Running,2022-11-16 20:12:44,false,"Lund Running","10.40","880","00:53:19","148","174","4.2","164","179","5:08","3:58","38","44","1.19","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:31.27","12","0.0","00:53:10","00:55:42","8","43"
Running,2022-11-15 18:16:13,false,"Lund Running","7.24","590","00:41:44","131","145","2.9","160","171","5:46","3:57","47","40","1.09","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:29.11","9","0.0","00:41:27","00:45:37","29","64"
Running,2022-11-13 11:14:59,false,"Lund Running","16.79","1,460","01:23:38","157","173","5.0","165","181","4:59","4:15","75","77","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:22.48","11","0.0","01:22:47","01:27:48","7","42"
Running,2022-11-10 18:15:45,false,"Lund - Fartlek Run 12xtimes","10.15","841","00:51:03","145","169","4.0","162","182","5:02","3:32","42","32","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.01","29","0.0","00:50:42","00:54:21","14","47"
Running,2022-11-08 16:20:17,false,"Lund Running","9.01","773","00:42:08","159","173","4.4","164","179","4:41","3:56","28","29","1.30","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:39.99","6","0.0","00:41:47","00:43:10","8","38"
Running,2022-11-08 16:02:45,false,"Lund Running","1.02","88","00:05:03.1","152","167","2.0","155","173","4:57","3:58","--","22","1.30","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:03.07","1","0.0","00:04:53","00:05:06.0","39","62"
Running,2022-10-24 09:48:38,false,"Lund Running","4.57","293","00:24:28","144","160","3.0","161","172","5:21","4:36","26","26","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:56.94","5","0.0","00:24:12","00:25:12","26","42"
Running,2022-09-30 19:27:35,false,"Lund - 6x1km Cruise intervals","10.48","627","00:49:01","154","176","3.9","167","191","4:41","3:36","141","146","1.28","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","15","0.0","00:48:48","00:49:41","-73","39"
Running,2022-09-27 19:24:03,false,"Lund - Fartlek Run 12xtimes","9.20","541","00:45:30","145","170","3.4","163","185","4:57","3:34","67","66","1.24","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.06","30","0.0","00:44:57","00:51:07","26","50"
Running,2022-09-25 12:37:09,false,"Lund Running","13.51","850","01:06:15","156","183","4.5","167","179","4:54","3:55","89","97","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:05.29","14","0.0","01:06:03","01:06:31","7","43"
Running,2022-09-25 12:14:48,false,"Lund Running","1.60","109","00:10:18","129","147","2.0","130","184","6:26","3:46","8","4","1.21","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:58.79","2","0.0","00:09:35","00:11:23","31","38"
Running,2022-09-23 18:11:36,false,"Lund Running","7.02","416","00:32:21","152","169","3.5","165","178","4:37","4:10","29","29","1.32","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.46","8","0.0","00:31:56","00:33:57","10","35"
Running,2022-09-21 19:45:00,false,"Lund Running","1.59","100","00:08:48.5","143","164","2.3","157","174","5:32","4:27","48","54","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:09.93","3","0.0","00:08:24","00:13:17","30","72"
Running,2022-09-21 18:16:41,false,"Lund Running","11.49","689","00:58:10","144","178","3.7","161","183","5:04","2:57","65","63","1.22","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:06.59","13","0.0","00:57:31","01:02:29","8","42"
