Comment Date,Comment
"Jul 1, 2021, 9:02:18 PM","DziÄ™ki Stasiu, nie poddajemy siÄ™!"
"Sep 6, 2021, 8:03:33 AM",Ta ale gps spierdzielony w tym tel xd
"May 1, 2022, 8:14:35 AM",Wohohooo! Gratulacje!!!!
"Aug 31, 2022, 4:47:53 PM",Dawaj dawaj Juljen!
"Sep 22, 2022, 11:04:11 AM",ChÅ‚opie jesteÅ› niesamowity!
"Sep 22, 2022, 2:37:11 PM",Nie ma co siÄ™ porÃ³wnywaÄ‡ do innych tylko do siebie z wczoraj. WiÄ™c trzymaj tak dalej! Ja mam zatem sporo do poprawy ğŸ˜…
"Sep 23, 2022, 10:18:50 PM","BÄ™dÄ… lÅ¼ejsze, na luzie! Tylko siÄ™ nie przepracuj! Trzymam kciuki ğŸ˜"
"Oct 24, 2022, 4:15:45 PM","Lecimy stary, ja teÅ¼ wracam!"
"Nov 27, 2022, 1:49:53 AM",No dystans perfekcyjny hahahah
"Nov 27, 2022, 1:50:37 AM",Jak byÅ‚o na mojej ziemi?
"Nov 27, 2022, 9:07:02 PM","Tak, maraton w Rotterdamie w kwietniu :D Zobaczymy na jaki czas wywÄ™drujÄ™, ale marzy mi siÄ™ 2 z przodu. Na razie ciÄ™Å¼ko to widzÄ™ - jak nie w kwietniu to moÅ¼e potem w Warszawie np."
"Nov 29, 2022, 6:30:52 PM",Ale fruwanie byÅ‚o!
"Jan 9, 2023, 7:52:49 PM",Ty dziku tak z rana
"Jan 23, 2023, 7:55:49 PM",O kurczaki
"Apr 10, 2023, 7:48:46 AM",60 m zabrakÅ‚o ğŸ˜‚
"Oct 18, 2023, 8:46:30 PM",Woooohooo! Dawaj KoÅ‚dysku!
